"","Region","famine_id","start_year","duration","avg_PDSI","avg_PDSI_europe","avg_temp_summer","avg_temp_winter","avg_precip_summer","avg_precip_winter","avg_temp_summer_europe","avg_temp_winter_europe","avg_precip_summer_europe","avg_precip_winter_europe","avg_ongoing_wars","avg_Deaths","avg_Death_ratio","avg_JSL","avg_NAO_cal","n_first","max_nino_first_n","avg_nino_first_n","avg_nino34","avg_2y_nino","max_2y_nino"
"98","Nordic Countries",2,1520,4,0.0175518782898011,-0.10284587575593,-0.271270443156485,-0.0217053123149199,1.70074446959368,3.35202724069868,-0.198074713013014,-0.0425380454287368,3.03327789654447,5.37444374234144,10.5,26125,2183.6655011655,-0.28645093325,0.071655825,2,0.53343402,0.14085202,-0.10645648,0.14085202,0.53343402
"99","Nordic Countries",3,1556,2,-0.349797720830669,-0.314696369033148,-0.115276674813508,-0.25964586397159,0.415389178396245,2.65533746788026,-0.148355711616189,-0.266665986718471,3.23440693474925,5.55628743778083,8,12103.3333333333,1458.62433862434,-0.680586079,0.09330505,1,0.45812002,0.45812002,0.0954030200000001,0.0954030200000001,0.45812002
"100","Nordic Countries",4,1571,2,-0.673053292280297,-0.591921100618135,-0.0836073921847555,-0.105071077829068,2.4892108449645,4.33118862988704,-0.0267804469795686,-0.486358876036042,2.64160882369819,5.06700849480672,13.5,24553.4090909091,1796.92019628099,-2.286139077,0.140313,1,-0.77881598,-0.77881598,-0.43426398,-0.43426398,-0.0897119799999998
"101","Nordic Countries",5,1590,8,0.010915560301651,0.041567059801737,-0.197280140249923,-0.143896769435205,2.81294332657859,2.31624611846486,-0.262126354612873,-0.173021109978812,3.63846287711236,5.25100671355982,13.125,18312.3049100023,1424.59037796737,-1.863353635875,-0.6085822,4,0.69814602,0.0216440200000002,0.38022002,0.0518180200000002,0.69814602
"102","Nordic Countries",6,1601,3,0.26922907932527,0.146174779041623,-0.379233764794311,-0.0681014443652675,1.31475157847098,5.38620112281653,-0.329157834623717,-0.141124128297906,2.45415953503447,5.57036647822699,9,23666.7691957166,2644.65654877936,-2.108429031,-0.213679,1,-0.0285319799999998,-0.0285319799999998,-0.0243139799999998,0.00283902000000016,0.0342100200000002
"103","Nordic Countries",7,1621,4,-0.736192426611512,-0.49391357705437,0.0292529269275786,-0.566907546378028,3.61967597209206,0.827883863628593,-0.0770837826885132,-0.489540750261609,3.91327727272756,5.01669029820128,10,301296.460573477,30283.3506322182,-0.41575401175,0.01497425,2,1.15598802,0.50415202,0.0433805200000003,0.50415202,1.15598802
"104","Nordic Countries",8,1628,3,-0.747976647328551,-0.118014355238623,0.239732895596318,0.388405416395983,0.891620537052952,4.96272928484824,-0.149736913286189,0.222580811087389,3.47384939901211,5.7478254311234,14.3333333333333,388929.039938556,26957.9209236424,-0.661957821,0.151211466666667,1,-0.41346598,-0.41346598,0.167599353333334,0.0677500200000002,0.54896602
"105","Nordic Countries",9,1633,2,-0.254978026544751,-0.0677702786346003,-0.178004065187671,0.513507112122813,1.09112856557811,3.41574944785836,-0.340986794844889,-0.0662193934936343,3.78032547249266,2.76112245034845,12.5,279055.230414747,22360.1947447714,1.1276244555,0.65898,1,-0.60667598,-0.60667598,0.10084702,0.10084702,0.80837002
"106","Nordic Countries",10,1641,3,0.268076397837754,0.489987704015747,-0.814096189300335,0.108540810761609,1.31414793826823,3.43215775788282,-0.595763675617609,-0.0436546469584128,3.42265323736409,6.21422330967987,12,294879.992319508,24880.1292217767,-3.21855164166667,1.02081466666667,1,-0.14306798,-0.14306798,-0.672550646666667,-0.41814098,-0.14306798
"107","Nordic Countries",11,1650,3,-0.723253569305381,-0.358733887707519,0.179365259473269,0.175688173958332,2.62413700956255,3.40639511260694,-0.109235480058121,0.161298144034083,4.00663868951762,5.33141027731776,10.6666666666667,25965,2366.99074074074,0.0396208866666666,0.0741909333333334,1,-0.56076798,-0.56076798,0.18883602,0.51273802,1.58624402
