Year,Region,Famine,Deaths,ongoing_wars,started_wars,total_duration,Death_ratio,temp_winter,temp_summer,temp_winter_europe,temp_summer_europe,precip_winter,precip_summer,precip_winter_europe,precip_summer_europe,PDSI_europe,PDSI,nino34,nino3,nino4,nino12,NAO_cal,NAO_model,JSL,Century,Famine_before,Famine_after,Famine_after2,Famine2Y,Famine3Y,Famine1Y,Famine_dur,Famine_dur2,Famine_start,Famine_end
1538,Spain,0,23000.0,4.0,1.0,1.0,5750.0,0.10043533211964013,-0.2255678796758288,0.06884875380671719,-0.0373861100363471,6.263668255534777,12.50904343904009,2.663462049471877,3.8957543693487913,-0.16280230596259482,0.9036060598927719,-0.8487679799999999,-0.7880615999999999,-0.8020019333333335,-0.64107357142857,-0.522021,-0.0927806,-3.601601883,16,0,0,0,0,0,0,0.0,0.0,0,0
1539,Central Europe,0,1500.0,2.0,1.0,2.0,750.0,0.9896146857137845,-0.07646512125978203,-0.0320526457597663,-0.16727914986023423,-2.7372067900514274,1.2874457757235822,1.2944993018338464,4.727582115479373,0.10963137586328794,0.4918146846857536,0.7567520200000002,0.6957150666666668,0.7084680666666666,0.5330794897959198,-0.30747,0.228095,-4.449375523,16,0,0,0,0,0,0,0.0,0.0,0,0
1539,Great Britain,0,1500.0,2.0,1.0,2.0,750.0,0.23260253719523785,-0.16094024896953024,-0.0320526457597663,-0.16727914986023423,5.942326143014691,6.319116204750334,1.2944993018338464,4.727582115479373,0.10963137586328794,1.6864577616459808,0.7567520200000002,0.6957150666666668,0.7084680666666666,0.5330794897959198,-0.30747,0.228095,-4.449375523,16,0,0,0,0,0,0,0.0,0.0,0,0
1539,France,0,1500.0,2.0,1.0,2.0,750.0,0.6450563056502099,-0.059713415111774165,-0.0320526457597663,-0.16727914986023423,-8.283526285273656,6.242922686899066,1.2944993018338464,4.727582115479373,0.10963137586328794,0.33325993336910237,0.7567520200000002,0.6957150666666668,0.7084680666666666,0.5330794897959198,-0.30747,0.228095,-4.449375523,16,0,0,0,0,0,0,0.0,0.0,0,0
1539,Ireland,0,1500.0,2.0,1.0,2.0,750.0,0.0061668270648610295,-0.09947056024055284,-0.0320526457597663,-0.16727914986023423,5.275733904939014,5.860986279397197,1.2944993018338464,4.727582115479373,0.10963137586328794,3.283667340081465,0.7567520200000002,0.6957150666666668,0.7084680666666666,0.5330794897959198,-0.30747,0.228095,-4.449375523,16,0,0,0,0,0,0,0.0,0.0,0,0
1539,Italy,1,1500.0,2.0,1.0,2.0,750.0,0.1258738729790462,-0.08331333701545147,-0.0320526457597663,-0.16727914986023423,6.9218631749914135,8.486622668744353,1.2944993018338464,4.727582115479373,0.10963137586328794,-0.2721364910348283,0.7567520200000002,0.6957150666666668,0.7084680666666666,0.5330794897959198,-0.30747,0.228095,-4.449375523,16,0,1,1,1,1,0,11.0,11.0,1,12
1539,Low Countries,0,1500.0,2.0,1.0,2.0,750.0,0.5791424764962152,-0.04552636778402572,-0.0320526457597663,-0.16727914986023423,-11.8697019366344,2.39628067332393,1.2944993018338464,4.727582115479373,0.10963137586328794,0.823204856138058,0.7567520200000002,0.6957150666666668,0.7084680666666666,0.5330794897959198,-0.30747,0.228095,-4.449375523,16,0,0,0,0,0,0,0.0,0.0,0,0
1539,Nordic Countries,0,1500.0,2.0,1.0,2.0,750.0,0.48474505872058743,-0.12957402560259257,-0.0320526457597663,-0.16727914986023423,0.3174984457309988,3.835379104057321,1.2944993018338464,4.727582115479373,0.10963137586328794,0.3176856456967062,0.7567520200000002,0.6957150666666668,0.7084680666666666,0.5330794897959198,-0.30747,0.228095,-4.449375523,16,0,0,0,0,0,0,0.0,0.0,0,0
1539,Russia/Ukraine,0,1500.0,2.0,1.0,2.0,750.0,0.47304479148860246,-0.267359296865704,-0.0320526457597663,-0.16727914986023423,0.22956135763736762,4.5306828101078045,1.2944993018338464,4.727582115479373,0.10963137586328794,-0.8683469680745993,0.7567520200000002,0.6957150666666668,0.7084680666666666,0.5330794897959198,-0.30747,0.228095,-4.449375523,16,0,0,0,0,0,0,0.0,0.0,0,0
1539,Spain,0,1500.0,2.0,1.0,2.0,750.0,0.14535934503227596,-0.28101550498949346,-0.0320526457597663,-0.16727914986023423,11.306651211376304,9.651089875979384,1.2944993018338464,4.727582115479373,0.10963137586328794,1.277115175208736,0.7567520200000002,0.6957150666666668,0.7084680666666666,0.5330794897959198,-0.30747,0.228095,-4.449375523,16,0,0,0,0,0,0,0.0,0.0,0,0
